platform,content_type,views,likes,shares,comments
youtube,video,18602,1871,367,131
twitter,video,54996,5634,1842,691
tiktok,story,61175,2553,1182,930
tiktok,video,19292,1596,471,312
instagram,post,90152,11297,1193,4312
tiktok,story,61705,6476,441,1807
facebook,post,14882,1866,264,341
facebook,short,85714,6872,745,1718
instagram,video,82337,5526,1194,1581
youtube,video,3299,198,69,42
youtube,reel,62986,6651,2622,1485
youtube,story,77487,4233,1954,1180
facebook,short,65269,2777,983,612
tiktok,post,22219,889,348,168
twitter,post,53021,7116,2982,1100
youtube,story,83722,978,311,173
instagram,video,56566,5856,2776,175
youtube,post,55608,3998,1419,449
instagram,story,56324,6191,688,465
twitter,short,44823,6695,1299,727
twitter,post,44742,5894,1492,1097
facebook,story,86205,7087,562,2487
facebook,post,77505,9215,1637,1857
twitter,short,20070,462,37,43
twitter,short,49115,4686,1651,272
tiktok,short,88044,7720,2967,2030
twitter,post,31839,718,139,189
twitter,short,28951,3624,1370,676
twitter,short,50229,3995,1616,464
tiktok,post,43335,5808,1921,175
instagram,post,66907,3961,1950,1466
youtube,video,34964,3549,575,1113
twitter,video,32307,4800,461,1700
youtube,reel,44156,1616,397,304
tiktok,video,41058,4402,683,610
tiktok,reel,86756,4645,677,1202
instagram,short,15150,2178,909,645
facebook,reel,24635,1480,341,519
tiktok,reel,95334,12843,2409,3644
facebook,post,78970,9536,988,3535
youtube,story,15883,1462,401,210
facebook,reel,27179,3683,852,416
facebook,reel,9454,421,35,143
twitter,video,12638,1237,294,474
facebook,reel,77412,6764,2653,1843
tiktok,short,40770,2590,516,899
tiktok,short,73329,8653,4080,2456
facebook,story,24807,401,129,47
facebook,story,21308,2934,458,618
tiktok,post,97708,8840,4361,1618
twitter,short,74074,6234,553,2079
tiktok,video,38860,1479,280,317
youtube,short,79457,2468,550,494
tiktok,post,63727,1381,452,261
facebook,short,99791,3427,844,894
facebook,short,65250,5129,2178,1262
youtube,short,94733,2038,792,142
twitter,video,67688,7654,3212,1882
youtube,story,53089,1745,282,185
instagram,video,73637,967,240,225
youtube,reel,50622,671,289,218
facebook,reel,45653,733,154,152
instagram,story,64797,6029,2447,1667
tiktok,video,13038,1624,109,307
instagram,reel,66652,4735,1591,1017
instagram,short,76031,3964,754,687
tiktok,story,41887,5397,1234,1251
youtube,story,62454,8187,2816,1069
tiktok,reel,49764,5626,2418,1005
twitter,reel,55286,3412,780,1092
tiktok,video,90594,13190,1914,1429
twitter,short,20588,427,143,91
twitter,video,41372,3691,1228,480
tiktok,reel,17637,1688,172,592
youtube,story,32414,1333,623,425
facebook,short,43091,4490,276,1135
facebook,story,53134,2247,221,684
facebook,reel,44435,3573,1699,405
instagram,post,30295,2045,905,126
tiktok,story,41485,2413,1174,311
instagram,reel,73053,871,162,206
twitter,video,24653,1171,123,71
instagram,post,27591,797,83,162
instagram,post,15528,2055,110,236
facebook,short,73587,9554,949,1748
instagram,story,69662,6980,1469,2685
facebook,story,64483,8979,1003,2362
youtube,video,70752,8572,1856,1411
facebook,short,96475,4922,410,402
instagram,story,40837,2194,492,501
tiktok,reel,57657,692,312,182
tiktok,reel,31034,3061,223,870
tiktok,story,31976,4422,223,1170
twitter,video,15359,1493,386,566
instagram,video,24555,1163,178,307
youtube,post,76050,6252,647,1607
tiktok,post,16398,1288,460,104
twitter,video,36631,717,124,210
tiktok,reel,20438,2814,459,969
instagram,reel,92324,11246,4016,4019
youtube,story,56963,4781,1223,1485
tiktok,video,48485,6595,1388,1011
instagram,video,5951,403,189,148
twitter,short,52764,7812,1048,2830
tiktok,short,9004,1184,421,403
instagram,short,87329,9596,2700,2967
tiktok,story,93220,10115,4860,3851
twitter,video,5921,426,46,32
twitter,video,8707,580,54,46
facebook,reel,68354,2485,1042,499
twitter,reel,93307,2629,884,753
facebook,post,5780,516,143,82
youtube,story,26680,3687,185,1090
youtube,short,38088,914,392,167
instagram,post,23940,3293,445,459
facebook,video,40418,1064,162,303
youtube,story,65351,7754,2433,2342
youtube,video,19046,1585,510,397
tiktok,short,77224,3909,386,1278
facebook,video,26381,1407,397,511
youtube,story,71619,9222,2089,393
instagram,story,78278,9960,4542,633
youtube,story,47327,6398,2413,2430
instagram,post,70661,6815,1085,2637
youtube,short,87329,10872,4941,1657
twitter,short,35048,3168,964,1057
instagram,post,40723,2982,1132,963
youtube,post,28567,2528,163,610
youtube,post,74573,10977,1094,1648
tiktok,story,96205,3697,1476,681
facebook,video,3522,92,18,6
youtube,post,94382,2038,684,193
facebook,reel,98245,3449,1701,1208
facebook,story,11861,915,89,191
twitter,post,21189,2650,647,823
instagram,video,23967,3592,450,245
twitter,post,1993,226,59,48
twitter,short,40950,2134,766,530
instagram,post,30931,3582,1284,1198
tiktok,short,7119,603,147,225
youtube,video,99376,8410,3507,950
instagram,reel,62348,5917,532,1838
youtube,short,89554,2328,1123,866
facebook,video,56231,6663,2788,1923
instagram,story,30566,4099,1257,869
tiktok,story,56080,3445,413,885
youtube,post,76874,2145,915,802
facebook,reel,54627,919,97,120
tiktok,reel,74476,3925,483,647
tiktok,story,76866,2553,244,122
instagram,reel,57215,6960,1633,1491
tiktok,video,8571,304,149,76
twitter,story,94755,8336,1723,2343
twitter,story,80785,4412,1473,1708
facebook,story,14792,950,83,335
youtube,video,29094,2840,993,559
instagram,post,47157,4182,1045,314
facebook,reel,37610,3902,1235,617
youtube,reel,41208,4337,882,716
twitter,video,16510,220,73,18
youtube,short,75079,6746,2781,1075
facebook,reel,93256,8873,3284,1027
twitter,short,76628,11477,1792,3690
youtube,story,67503,4716,1152,1219
youtube,post,13117,1528,723,132
tiktok,post,16892,1731,453,488
twitter,reel,97486,11990,4754,3023
tiktok,reel,72921,8766,2864,925
instagram,reel,9928,605,43,109
tiktok,video,83128,4884,2295,1773
twitter,reel,83918,9191,1164,3035
facebook,short,60549,7350,925,2521
twitter,post,94991,2797,936,720
twitter,short,61173,1894,880,262
instagram,post,15126,2258,891,244
facebook,post,86066,2637,957,650
facebook,story,76700,3964,563,1515
facebook,short,6998,619,106,71
instagram,short,34734,4521,601,851
youtube,story,44022,1309,340,403
youtube,video,27282,3323,1221,578
facebook,short,67460,6166,2849,2442
twitter,video,75410,8543,4144,3204
youtube,post,60429,8225,2353,1728
youtube,story,21422,2396,1066,903
tiktok,story,48297,3488,800,192
twitter,video,62648,920,138,291
tiktok,reel,58018,1714,694,542
instagram,short,79716,6450,3039,1679
youtube,short,25102,2607,824,533
facebook,post,58098,792,167,298
tiktok,reel,22385,543,99,135
